Day 1,,,,,
12:00 - 12:50,Welcome Activity,,,,
1:00 - 1:20,كلمة افتتاحية,,,,
1:30 - 2:00,Talks,,,,
,Reading Marathon - Uri,Programming - Sporting,Arts - Smouha,Space Management - Uri,UCMAS - KDC
2:10 - 3:40,Workshops,,,,
,Lab - KDC,,,,
3:50 - 4:50,الغذاء,,,,
5:00 - 5:20,صلاة الغروب,,,,
5:30 - 6:20,Games,,,,
6:30 - 7:10,Keynote Speaker,,,,
7:10 - 7:30,Pika Kuka,,,,
7:40 - 8:10,Talks,,,,
,Science Carnival - KDC,"Internal, National & International Competitions - KDC",وسائل الايضاح - Uri,Summer School - God's Masterpiece,Career Consultation - Eime
8:20 - 8:50,Talks,,,,
,Astronomy Camp - KDC,Technology - Eime,Small Business - Pharo,Interviews (servants selection) - KDC,Photography - Bokalia
9:00 - 11:00,Poster Sessions,,,,
11:10 - 12:00,العشاء,,,,
12:10 - 2:00,mini astronomy camp,,,,
,,,,,
Day 2,,,,,
8:00 - 10:00, قداس,,,,
10:00 - 10:50,الفطار,,,,
11:00 - 12:30,Workshops,,,,
,Differential Gears - KDC,,,,
12:40 - 1:30,Games,,,,
1:40 - 3:10,Workshops,,,,
,Microscope - KDC,,,,
3:20 - 4:10,الغذاء,,,,
4:10 - 4:30,صلاة الغروب,,,,
4:40 - 6:00,Workshops,,,,
,Sensors & Actuators - KDC,,,,
6:10 - 7:00,Closure,,,,